Pilot ID,Name,Contact Information,Airline/Organization,Job Title,Training Enrollment Date,Training Status,Verification Status,Verification Date,Simulator Type,Training Program,Session Start Date,Session End Date,Session Frequency,Session Records,Training Cost,Subsidy Amount,Final Cost to Pilot,Enrollment Method,Coordinator,Comments/Notes,Compliance Status,Audits,Last Update Date,Report Generation Date,Data Extraction Date,Statistical Metrics
a42e4b43,Lisa Wise,lori62@yahoo.com,Collins Group,Multimedia specialist,2023-03-27,In Progress,Rejected,2024-03-01,CAE Simfinity XR Series,Recurrency Training,2024-04-26,2024-03-01,Weekly,2,6731,4772,2109,In-person,Chelsea Lewis,Thing turn across our their memory impact like.,Compliant,Baby least test we Mrs turn player your.,2024-07-22,2024-06-15,2024-05-23,Avg Usage: 5 sessions/month
09e3f0e2,Cynthia Hall,barnestracy@hotmail.com,Lowe-Mccall,Surgeon,2022-12-25,Enrolled,Verified,2022-07-02,CAE Simfinity XR Series,Initial Pilot Training,2024-05-09,2024-04-24,Monthly,5,7654,2877,3636,In-person,Dillon Fischer,Magazine rule as on.,Compliant,Toward since west approach design.,2024-05-01,2024-02-21,2024-05-29,Avg Usage: 9 sessions/month
a365d4c9,Mr. Bryan Martin,david59@hotmail.com,Frye and Sons,Barrister's clerk,2021-12-01,Enrolled,Pending,2024-06-09,CAE Prodigy Image Generator,Recurrency Training,2024-05-24,2024-06-06,Bi-weekly,8,7691,1280,3561,In-person,Brandon Anderson,Stuff study without population list nice after.,Non-Compliant,Especially huge make marriage affect big.,2024-06-07,2024-04-19,2024-05-22,Avg Usage: 3 sessions/month
0cf6963b,Tamara Wilson,butlerholly@choi.biz,"Smith, Pierce and Wilson","Psychotherapist, dance movement",2023-11-30,In Progress,Verified,2023-08-06,CAE Prodigy Image Generator,Recurrency Training,2024-02-09,2024-03-03,Bi-weekly,1,4278,2033,1725,Online,Terry Chen,Call human determine baby list.,Compliant,Bit nor sit sing per.,2024-07-20,2024-07-13,2024-03-11,Avg Usage: 6 sessions/month
a59533cc,Kevin Perkins,meadowscindy@yahoo.com,"Holmes, Gomez and Burns","Librarian, public",2020-03-11,Completed,Verified,2022-01-14,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-03-06,2024-01-05,Monthly,9,5456,2309,2283,In-person,Christopher Morgan,Protect Mr old us store occur loss.,Compliant,Hotel alone least just half cut.,2024-01-23,2024-01-06,2024-02-11,Avg Usage: 1 sessions/month
3f8f5a48,Travis Robertson,joshua37@little-jordan.com,Conner-Hutchinson,Air broker,2021-12-31,Enrolled,Pending,2023-09-05,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-14,2024-03-27,Bi-weekly,1,5316,1292,3941,Online,Cheyenne Woods,Feeling although for deal shoulder.,Non-Compliant,Soon walk century top.,2024-04-18,2024-04-03,2024-04-06,Avg Usage: 8 sessions/month
13d25982,Timothy Taylor,gabrielle75@ryan.net,Figueroa PLC,Call centre manager,2022-09-18,Enrolled,Rejected,2021-09-11,CAE Prodigy Image Generator,Recurrency Training,2024-01-29,2024-02-15,Bi-weekly,4,4693,769,4672,Online,Amy Nelson,Act compare least myself land hand remain.,Non-Compliant,Soon truth daughter law.,2024-02-24,2024-05-17,2024-02-27,Avg Usage: 6 sessions/month
445d0bbe,Stanley Moreno,christinedavis@yahoo.com,Hughes LLC,Multimedia specialist,2024-04-02,Completed,Verified,2021-05-11,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-03-31,2024-04-24,Weekly,1,5251,3389,1471,Online,Lisa Henry,Operation quality tax live message myself relationship.,Compliant,Note parent question.,2024-06-23,2024-03-24,2024-07-15,Avg Usage: 1 sessions/month
92837ebf,Carrie Petersen,alexagray@hotmail.com,Rojas-Perry,Archivist,2023-09-16,Completed,Rejected,2024-01-10,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-09,2024-07-17,Weekly,9,6534,4958,2822,In-person,Laura Allen,Put water sound man society choose.,Compliant,Yourself college chair born.,2024-05-17,2024-01-30,2024-02-27,Avg Usage: 4 sessions/month
01ee51d2,Andrew Barnes,wallacechristopher@graham.biz,Cain Inc,Recruitment consultant,2023-03-23,In Progress,Rejected,2022-02-09,CAE 7000XR Full-Flight,Recurrency Training,2024-03-20,2024-06-25,Weekly,1,5818,3066,1315,Online,Kevin Farmer,Drug like new.,Compliant,Start bring physical page.,2024-07-04,2024-06-01,2024-01-28,Avg Usage: 1 sessions/month
